partenza,arrivo,corse,con_misura,con_durata,durata_tot,ritardo_tot,in_ritardo,mesi,primo_mese,ultimo_mese,km,qualita_km,durata_media_min,ritardo_medio_min,min_per_100km,ritardo_per_100km,km_h_programmati,km_h_effettivi,pct_ritardo,attraversa_stretto
PESARO,PESCARA,1561,1505,1561,276714.0000,4663,244,80,2019-10,2026-07,205.5500,ufficiale,177.2671,3.0983,86.2404,1.5073,69.5730,68.3778,16.2126,False
ANCONA,RIMINI,26469,26294,26468,2120956.0000,56786,3322,82,2019-10,2026-07,92.9500,ufficiale,80.1328,2.1597,86.2107,2.3235,69.5969,67.7705,12.6341,False
CAGLIARI,MACOMER,10750,10646,10750,1415108.0000,19356,843,79,2019-10,2026-07,152.7400,ufficiale,131.6380,1.8181,86.1843,1.1904,69.6182,68.6698,7.9185,False
BRENNERO,VENEZIA MESTRE,616,537,616,156189.0000,11146,237,64,2019-10,2026-07,294.2200,ufficiale,253.5536,20.7561,86.1782,7.0546,69.6232,64.3550,44.1341,False
BOZZOLO,CODOGNO,684,678,684,37578.0000,4347,381,31,2024-01,2026-07,63.8000,ufficiale,54.9386,6.4115,86.1107,10.0494,69.6778,62.3960,56.1947,False
FOSSANO,TORINO LINGOTTO,639,631,639,32524.0000,7139,281,77,2019-10,2026-07,59.1200,ufficiale,50.8983,11.3138,86.0932,19.1370,69.6919,57.0179,44.5325,False
NAPOLI CENTRALE,PISCIOTTA PALINURO,1035,989,1035,125081.0000,6434,392,18,2020-10,2026-07,140.4100,ufficiale,120.8512,6.5056,86.0702,4.6333,69.7105,66.1496,39.6360,False
CASSINO,ROMA TIBURTINA,471,378,471,54463.0000,1443,82,24,2019-11,2026-07,134.4200,ufficiale,115.6327,3.8175,86.0234,2.8399,69.7484,67.5194,21.6931,False
FOSSANO,TORINO PORTA NUOVA,5033,4952,5033,274652.0000,18603,1289,81,2019-10,2026-07,63.4400,ufficiale,54.5702,3.7567,86.0187,5.9216,69.7523,65.2598,26.0299,False
FIRENZE S MARIA NOVELLA,FOLLONICA,390,386,390,60523.0000,717,42,80,2019-10,2026-07,180.4700,ufficiale,155.1872,1.8575,85.9906,1.0293,69.7751,68.9498,10.8808,False
ANCONA,PESCARA,36046,34145,36041,4523729.0000,80335,4520,82,2019-10,2026-07,145.9700,ufficiale,125.5162,2.3528,85.9877,1.6118,69.7775,68.4936,13.2377,False
MILANO CENTRALE,TORTONA,8159,8061,8158,555897.0000,37598,2642,76,2019-10,2026-05,79.2500,ufficiale,68.1413,4.6642,85.9828,5.8854,69.7814,65.3110,32.7751,False
FIRENZE S MARIA NOVELLA,ORBETELLO,2611,2537,2610,519393.0000,8508,471,65,2019-10,2025-03,231.7800,confermata,199.0011,3.3536,85.8578,1.4469,69.8830,68.7249,18.5652,False
COSENZA,LAMEZIA TERME CENTRALE,1151,1131,1151,78563.0000,3174,191,29,2020-07,2026-07,79.5500,ufficiale,68.2563,2.8064,85.8030,3.5278,69.9276,67.1661,16.8877,False
PALERMO CENTRALE,ROCCAPALUMBA ALIA,5546,5212,5546,328778.0000,7992,353,43,2019-10,2026-06,69.1700,ufficiale,59.2820,1.5334,85.7048,2.2168,70.0078,68.2426,6.7728,False
PESCARA,TIVOLI,354,351,354,60807.0000,2361,67,36,2020-06,2026-07,200.7000,ufficiale,171.7712,6.7265,85.5860,3.3515,70.1049,67.4631,19.0883,False
PESCARA,ROMA TERMINI,9365,9142,9365,1924294.0000,45315,2175,81,2019-10,2026-07,240.2700,ufficiale,205.4772,4.9568,85.5193,2.0630,70.1596,68.5070,23.7913,False
BATTIPAGLIA,SAPRI,332,321,332,29733.0000,1872,77,43,2019-10,2026-07,104.7900,ufficiale,89.5572,5.8318,85.4635,5.5652,70.2054,65.9133,23.9875,False
BOLOGNA CENTRALE,MODENA,19610,18903,19610,618348.0000,32744,2189,82,2019-10,2026-07,36.9300,ufficiale,31.5323,1.7322,85.3839,4.6905,70.2708,66.6116,11.5802,False
POTENZA CENTRALE,TARANTO,6844,5593,6844,877741.0000,16584,868,48,2021-11,2026-07,150.3200,ufficiale,128.2497,2.9651,85.3178,1.9725,70.3253,68.7361,15.5194,False
BOLOGNA CENTRALE,VIPITENO VAL VIZZE,316,309,316,87359.0000,8949,243,60,2019-11,2026-07,324.0600,ufficiale,276.4525,28.9612,85.3091,8.9370,70.3325,63.6632,78.6408,False
BRENNERO,VENEZIA S LUCIA,5064,4748,5062,1306570.0000,41840,1732,74,2019-10,2026-07,302.6500,ufficiale,258.1134,8.8121,85.2845,2.9117,70.3528,68.0302,36.4785,False
CAGLIARI,PORTO TORRES MARITTIMA,2199,2184,2199,505734.0000,8877,406,71,2019-10,2026-07,269.8700,ufficiale,229.9836,4.0646,85.2202,1.5061,70.4059,69.1832,18.5897,False
L AQUILA,PESCARA,800,793,800,86278.0000,2647,150,21,2022-08,2026-07,126.6400,ufficiale,107.8475,3.3380,85.1607,2.6358,70.4550,68.3399,18.9155,False
PESCARA,S BENEDETTO DEL TRONTO,5746,5717,5746,300640.0000,11291,626,82,2019-10,2026-07,61.4800,ufficiale,52.3216,1.9750,85.1035,3.2124,70.5024,67.9380,10.9498,False
BOLZANO,FORTEZZA,3193,3155,3193,131621.0000,8636,466,81,2019-10,2026-07,48.6200,ufficiale,41.2217,2.7372,84.7835,5.6299,70.7685,66.3619,14.7702,False
LIVORNO CENTRALE,ORBETELLO MONTE ARGENTARIO,301,281,301,42190.0000,447,14,17,2025-03,2026-07,165.3600,ufficiale,140.1661,1.5907,84.7642,0.9620,70.7846,69.9903,4.9822,False
GROSSETO,LIVORNO CENTRALE,4342,3714,4342,469582.0000,9157,493,81,2019-10,2026-07,127.6400,ufficiale,108.1488,2.4655,84.7295,1.9316,70.8136,69.2352,13.2741,False
GROSSETO,ORBETELLO MONTE ARGENTARIO,868,831,868,27740.0000,519,34,17,2025-03,2026-07,37.7200,ufficiale,31.9585,0.6245,84.7257,1.6557,70.8168,69.4594,4.0915,False
ALESSANDRIA,MILANO CENTRALE,22966,21198,22962,1943299.0000,70247,4294,82,2019-10,2026-07,99.9700,ufficiale,84.6311,3.3139,84.6565,3.3148,70.8747,68.2040,20.2566,False
FIRENZE S MARIA NOVELLA,ORBETELLO MONTE ARGENTARIO,398,391,398,77941.0000,519,33,17,2025-03,2026-07,231.9200,ufficiale,195.8317,1.3274,84.4393,0.5723,71.0569,70.5786,8.4399,False
COSENZA,NAPOLI CENTRALE,14602,12581,14601,3622034.0000,78966,3618,81,2019-10,2026-07,293.8800,ufficiale,248.0675,6.2766,84.4112,2.1358,71.0806,69.3265,28.7577,False
BARI CENTRALE,GIOIA DEL COLLE,3976,3942,3975,166793.0000,5124,203,72,2019-10,2026-07,49.7300,ufficiale,41.9605,1.2998,84.3766,2.6138,71.1097,68.9731,5.1497,False
POTENZA INFERIORE,TARANTO,2300,2063,2300,309836.0000,6237,357,23,2019-10,2021-11,159.7600,stimata,134.7113,3.0233,84.3210,1.8924,71.1566,69.5947,17.3049,False
ALESSANDRIA,ASTI,14523,14434,14523,419776.0000,42944,2428,81,2019-10,2026-07,34.3000,ufficiale,28.9042,2.9752,84.2689,8.6740,71.2007,64.5558,16.8214,False
CEVA,TORINO PORTA NUOVA,3245,3043,3244,277434.0000,9597,587,75,2019-10,2026-07,101.6000,ufficiale,85.5222,3.1538,84.1754,3.1041,71.2797,68.7447,19.2902,False
MILANO PORTA GARIBALDI,RIMINI,2050,1915,2050,565024.0000,12468,780,80,2019-12,2026-07,327.6800,ufficiale,275.6215,6.5107,84.1130,1.9869,71.3326,69.6865,40.7311,False
BUSTO ARSIZIO NORD,MILANO CADORNA,1123,1122,1123,33594.0000,1729,107,7,2025-04,2026-06,35.6100,ufficiale,29.9145,1.5410,84.0059,4.3274,71.4235,67.9245,9.5365,False
MALPENSA AEROPORTO T2,MILANO CADORNA,65941,65611,65936,2873861.0000,119343,8336,38,2019-10,2025-03,51.9200,ufficiale,43.5856,1.8189,83.9476,3.5034,71.4731,68.6098,12.7052,False
GROSSETO,PISA CENTRALE,17517,14359,17516,2127278.0000,30224,1764,82,2019-10,2026-07,144.7600,ufficiale,121.4477,2.1049,83.8959,1.4540,71.5172,70.2988,12.2850,False
CIVITAVECCHIA,ROMA OSTIENSE,3372,3166,3372,200391.0000,13485,904,61,2019-10,2026-07,70.8700,ufficiale,59.4279,4.2593,83.8549,6.0100,71.5522,66.7669,28.5534,False
ALESSANDRIA,ARQUATA SCRIVIA,13536,13425,13532,374800.0000,32733,1692,80,2019-10,2026-07,33.0600,ufficiale,27.6973,2.4382,83.7789,7.3751,71.6171,65.8227,12.6034,False
CATANZARO LIDO,CROTONE,12101,10746,12099,604968.0000,19386,866,74,2019-10,2026-07,59.7500,ufficiale,50.0015,1.8040,83.6845,3.0193,71.6979,69.2011,8.0588,False
DESENZANO DEL GARDA SIRMIONE,VENEZIA S LUCIA,347,343,347,44826.0000,2279,131,7,2025-06,2026-07,154.4400,ufficiale,129.1816,6.6443,83.6451,4.3022,71.7316,68.2226,38.1924,False
BARI CENTRALE,OSTUNI,464,457,464,28806.0000,802,38,52,2019-12,2026-07,74.2800,ufficiale,62.0819,1.7549,83.5782,2.3626,71.7890,69.8155,8.3151,False
MILANO CENTRALE,SESTO CALENDE,1182,1152,1182,58703.0000,6271,485,16,2020-08,2026-07,59.4500,ufficiale,49.6641,5.4436,83.5393,9.1566,71.8225,64.7278,42.1007,False
PESCARA,TERMOLI,37929,37570,37928,2833040.0000,68757,4164,82,2019-10,2026-07,89.4700,ufficiale,74.6952,1.8301,83.4863,2.0455,71.8681,70.1493,11.0833,False
BOLOGNA CENTRALE,BOLZANO,6533,6102,6533,1399452.0000,32713,1982,81,2019-10,2026-07,256.6200,ufficiale,214.2128,5.3610,83.4747,2.0891,71.8781,70.1231,32.4812,False
GENOVA SAMPIERDARENA,TORINO PORTA NUOVA,543,342,543,70645.0000,749,48,27,2021-12,2026-07,156.0300,ufficiale,130.1013,2.1901,83.3822,1.4036,71.9578,70.7665,14.0351,False
BOLZANO,ROVERETO,10013,9765,10013,659370.0000,34519,2489,81,2019-10,2026-07,79.0100,ufficiale,65.8514,3.5350,83.3456,4.4741,71.9894,68.3218,25.4890,False
FIRENZE S MARIA NOVELLA,PERUGIA,1221,1206,1221,145083.0000,6231,357,36,2019-11,2026-07,142.6700,ufficiale,118.8231,5.1667,83.2853,3.6214,72.0416,69.0396,29.6020,False
BOLOGNA CENTRALE,RAVENNA,27160,26193,27151,1864582.0000,82502,5319,82,2019-10,2026-07,82.5200,ufficiale,68.6745,3.1498,83.2217,3.8170,72.0966,68.9349,20.3070,False
ALA,BOLZANO,17029,16055,17027,1352405.0000,38480,2753,81,2019-10,2026-07,95.5500,ufficiale,79.4271,2.3968,83.1262,2.5084,72.1794,70.0651,17.1473,False
BOLOGNA CENTRALE,PESARO,1955,1904,1955,234289.0000,7284,432,52,2020-03,2026-07,144.4700,ufficiale,119.8409,3.8256,82.9521,2.6480,72.3309,70.0933,22.6891,False
CALTANISSETTA CENTRALE,PALERMO CENTRALE,698,655,698,76469.0000,1801,107,29,2023-04,2026-06,132.0800,ufficiale,109.5544,2.7496,82.9455,2.0818,72.3366,70.5656,16.3359,False
CHIASSO,FIRENZE S MARIA NOVELLA,402,389,402,116051.0000,4234,181,10,2023-04,2026-07,348.5000,stimata,288.6841,10.8843,82.8362,3.1232,72.4321,69.8004,46.5296,False
PORTOGRUARO CAORLE,TRIESTE CENTRALE,16298,16120,16297,1155633.0000,28778,1485,81,2019-10,2026-07,85.6600,ufficiale,70.9108,1.7852,82.7817,2.0841,72.4798,70.6999,9.2122,False
CHIUSI CHIANCIANO TERME,ROMA TERMINI,7324,6911,7322,866134.0000,15285,803,82,2019-10,2026-07,142.9800,ufficiale,118.2920,2.2117,82.7332,1.5469,72.5222,71.1912,11.6192,False
NAPOLI CENTRALE,ROMA TIBURTINA,6757,5108,6757,1195017.0000,22999,1068,66,2020-09,2026-07,213.9600,ufficiale,176.8561,4.5025,82.6585,2.1044,72.5878,70.7857,20.9084,False
ASTI,GENOVA P PRINCIPE,490,463,490,41734.0000,1082,68,11,2021-05,2025-01,103.1000,confermata,85.1714,2.3369,82.6105,2.2667,72.6300,70.6904,14.6868,False
FIRENZE S MARIA NOVELLA,ROMA TERMINI,27826,23174,27825,5986741.0000,124408,6024,82,2019-10,2026-07,260.8800,ufficiale,215.1569,5.3684,82.4735,2.0578,72.7506,70.9796,25.9946,False
FOLLONICA,PISA CENTRALE,825,809,825,69911.0000,1722,101,80,2019-10,2026-07,102.8600,ufficiale,84.7406,2.1286,82.3844,2.0694,72.8293,71.0448,12.4845,False
CREMONA,MILANO CENTRALE,4185,4064,4185,298814.0000,20033,1229,77,2019-10,2026-07,86.7100,ufficiale,71.4012,4.9294,82.3448,5.6849,72.8643,68.1588,30.2411,False
EMPOLI,LIVORNO CENTRALE,479,466,479,26028.0000,1457,82,31,2019-11,2026-07,66.0000,ufficiale,54.3382,3.1266,82.3306,4.7373,72.8769,68.9117,17.5966,False
BRESCIA,MILANO CENTRALE,14708,14171,14704,1001570.0000,70593,4485,82,2019-10,2026-07,82.7500,ufficiale,68.1155,4.9815,82.3148,6.0200,72.8909,67.9235,31.6491,False
SACILE,UDINE,5722,5676,5720,289897.0000,10826,601,80,2019-10,2026-07,61.6100,ufficiale,50.6813,1.9073,82.2615,3.0958,72.9382,70.2928,10.5884,False
MESSINA CENTRALE,ROMA TERMINI,578,502,578,308189.0000,11125,249,47,2019-12,2026-07,648.5900,ufficiale,533.1990,22.1614,82.2089,3.4169,72.9848,70.0723,49.6016,True
BOLOGNA CENTRALE,ROMA TIBURTINA,808,686,808,229665.0000,15593,543,21,2024-09,2026-07,345.9700,ufficiale,284.2389,22.7303,82.1571,6.5700,73.0308,67.6231,79.1545,False
MESSINA CENTRALE,PALERMO CENTRALE,46036,32182,46032,8437852.0000,143897,5413,82,2019-10,2026-07,223.1700,ufficiale,183.3040,4.4714,82.1365,2.0036,73.0491,71.3097,16.8200,False
MILANO PORTA GARIBALDI,VERONA PORTA NUOVA,766,671,766,93893.0000,1812,99,49,2020-11,2026-07,149.2800,ufficiale,122.5757,2.7004,82.1113,1.8090,73.0716,71.4964,14.7541,False
NOVARA,TORINO PORTA NUOVA,3266,3153,3266,268224.0000,13307,675,81,2019-10,2026-07,100.0600,ufficiale,82.1261,4.2204,82.0769,4.2179,73.1022,69.5291,21.4082,False
BOLOGNA CENTRALE,TRIESTE CENTRALE,385,371,385,97604.0000,2247,119,26,2021-03,2026-04,308.9900,ufficiale,253.5169,6.0566,82.0470,1.9601,73.1289,71.4225,32.0755,False
MILANO CENTRALE,NOVARA,359,355,359,15303.0000,2002,123,23,2020-07,2026-06,51.9800,ufficiale,42.6267,5.6394,82.0060,10.8492,73.1653,64.6167,34.6479,False
BOLZANO,MILANO PORTA GARIBALDI,1124,986,1124,267596.0000,4964,211,20,2024-12,2026-07,290.3800,ufficiale,238.0747,5.0345,81.9873,1.7338,73.1821,71.6666,21.3996,False
GENOVA P PRINCIPE,MILANO CENTRALE,4332,4161,4332,487837.0000,26348,1545,66,2019-10,2025-03,137.9700,stimata,112.6124,6.3321,81.6209,4.5895,73.5105,69.5971,37.1305,False
BOLOGNA CENTRALE,CHIASSO,731,693,731,153127.0000,2519,143,35,2021-12,2026-07,256.8400,confermata,209.4761,3.6349,81.5590,1.4152,73.5664,72.3116,20.6349,False
ANCONA,ROMA TERMINI,28515,27231,28515,6772082.0000,140008,7102,82,2019-10,2026-07,291.4700,ufficiale,237.4919,5.1415,81.4807,1.7640,73.6370,72.0766,26.0806,False
MILANO CENTRALE,PESARO,343,342,343,100344.0000,2717,150,35,2020-05,2026-07,359.1700,ufficiale,292.5481,7.9444,81.4512,2.2119,73.6638,71.7163,43.8596,False
BOLOGNA CENTRALE,VERONA PORTA NUOVA,29155,27989,29151,2723008.0000,71615,4244,82,2019-10,2026-07,114.8400,ufficiale,93.4104,2.5587,81.3396,2.2280,73.7648,71.7981,15.1631,False
MILANO CENTRALE,TERNI,2650,2526,2650,1133082.0000,24793,1132,73,2019-10,2026-07,525.9300,ufficiale,427.5781,9.8151,81.2994,1.8662,73.8013,72.1451,44.8139,False
GENOVA BRIGNOLE,TORINO PORTA NUOVA,39196,35636,39191,5143590.0000,108174,7084,82,2019-10,2026-07,161.5600,ufficiale,131.2442,3.0355,81.2356,1.8789,73.8593,72.1896,19.8788,False
MILANO PORTA GARIBALDI,TORINO LINGOTTO,6573,5886,6573,776085.0000,24578,1342,81,2019-10,2026-07,145.3800,ufficiale,118.0717,4.1757,81.2159,2.8722,73.8772,71.3537,22.7999,False
CAGLIARI,ORISTANO,29710,29311,29708,2243197.0000,59793,2733,82,2019-10,2026-07,93.0300,ufficiale,75.5082,2.0400,81.1654,2.1928,73.9231,71.9785,9.3241,False
CUNEO,TORINO PORTA NUOVA,47398,46595,47393,3400063.0000,126833,7023,82,2019-10,2026-07,88.5800,ufficiale,71.7419,2.7220,80.9911,3.0730,74.0822,71.3742,15.0724,False
ASTI,MILANO CENTRALE,5268,5172,5267,566785.0000,33716,2099,80,2019-10,2026-07,132.9500,ufficiale,107.6106,6.5189,80.9407,4.9033,74.1284,69.8943,40.5839,False
PALERMO CENTRALE,ROMA TERMINI,3493,3227,3493,2464493.0000,52007,1388,76,2019-10,2026-07,871.7600,ufficiale,705.5520,16.1162,80.9342,1.8487,74.1343,72.4787,43.0121,True
RIMINI,VOGHERA,2076,2068,2076,531954.0000,4424,267,80,2019-10,2026-07,316.9600,ufficiale,256.2399,2.1393,80.8430,0.6749,74.2180,73.6035,12.9110,False
MILANO PORTA GARIBALDI,PADOVA,567,313,567,105367.0000,5630,116,19,2021-05,2025-06,230.0500,ufficiale,185.8325,17.9872,80.7792,7.8188,74.2766,67.7216,37.0607,False
FORTEZZA,VERONA PORTA NUOVA,2336,1717,2336,367289.0000,5621,358,78,2019-10,2026-07,194.7400,ufficiale,157.2299,3.2737,80.7384,1.6811,74.3141,72.7984,20.8503,False
PERUGIA PONTE S GIOVANNI,ROMA TERMINI,339,316,339,52432.0000,2505,120,16,2021-02,2026-07,191.6100,ufficiale,154.6667,7.9272,80.7195,4.1372,74.3315,70.7075,37.9747,False
BOZZOLO,MILANO CENTRALE,16901,16678,16900,1679309.0000,98846,6338,31,2024-01,2026-07,123.1700,ufficiale,99.3674,5.9267,80.6750,4.8118,74.3725,70.1863,38.0022,False
PERUGIA,ROMA TERMINI,22371,21707,22370,3660759.0000,119739,6877,82,2019-10,2026-07,202.8600,ufficiale,163.6459,5.5161,80.6694,2.7192,74.3777,71.9523,31.6810,False
CAMPIGLIA MARITTIMA,GROSSETO,6944,6750,6942,330800.0000,15921,810,80,2019-10,2026-07,59.1100,ufficiale,47.6520,2.3587,80.6158,3.9903,74.4271,70.9169,12.0000,False
PIACENZA,RIMINI,7425,7032,7425,1545973.0000,24307,1406,82,2019-10,2026-07,258.5600,ufficiale,208.2119,3.4566,80.5275,1.3369,74.5087,73.2920,19.9943,False
COSENZA,REGGIO CALABRIA CENTRALE,35740,34441,35737,5741349.0000,76221,3281,82,2019-10,2026-07,199.8600,ufficiale,160.6556,2.2131,80.3841,1.1073,74.6417,73.6274,9.5264,False
PRATO CENTRALE,ROMA TERMINI,361,286,361,79897.0000,1182,65,24,2024-01,2026-05,275.3700,ufficiale,221.3213,4.1329,80.3723,1.5008,74.6525,73.2841,22.7273,False
ROMA TERMINI,VILLA LITERNO,1835,1610,1835,265858.0000,3403,137,78,2019-11,2026-07,180.3500,ufficiale,144.8817,2.1137,80.3337,1.1720,74.6885,73.6145,8.5093,False
MANTOVA,MILANO CENTRALE,29297,29159,29296,3503080.0000,169026,10020,52,2019-10,2024-01,148.9400,ufficiale,119.5754,5.7967,80.2843,3.8920,74.7345,71.2790,34.3633,False
BERGAMO,MILANO LAMBRATE,2105,2080,2105,83710.0000,14088,814,76,2019-10,2026-07,49.5800,ufficiale,39.7672,6.7731,80.2082,13.6609,74.8053,63.9188,39.1346,False
PORTOGRUARO CAORLE,VENEZIA MESTRE,10457,10359,10454,614247.0000,28520,1453,81,2019-10,2026-07,73.3700,ufficiale,58.7571,2.7532,80.0833,3.7524,74.9220,71.5685,14.0265,False
BOLOGNA CENTRALE,VENEZIA S LUCIA,69530,57854,69525,8862703.0000,118465,6079,82,2019-10,2026-07,159.5100,ufficiale,127.4751,2.0477,79.9167,1.2837,75.0782,73.8913,10.5075,False
BOLOGNA CENTRALE,BRENNERO,24886,23487,24880,6866982.0000,213751,11014,81,2019-10,2026-07,345.4100,ufficiale,276.0041,9.1008,79.9062,2.6348,75.0880,72.6911,46.8940,False
CAVA TIGOZZI,MILANO CENTRALE,539,520,539,35042.0000,2145,170,10,2024-08,2026-07,81.5400,ufficiale,65.0130,4.1250,79.7314,5.0589,75.2527,70.7628,32.6923,False
GENOVA PIAZZA PRINCIPE,TORINO PORTA NUOVA,6133,4271,6133,776712.0000,9703,503,17,2025-03,2026-07,158.9200,ufficiale,126.6447,2.2718,79.6909,1.4295,75.2909,73.9641,11.7771,False
ANCONA,PARMA,433,426,433,101330.0000,2782,99,50,2019-12,2026-07,294.4300,ufficiale,234.0185,6.5305,79.4819,2.2180,75.4889,73.4395,23.2394,False
ANCONA,CIVITANOVA MARCHE MONTEGRANARO,1021,926,1021,34639.0000,1434,91,17,2025-03,2026-07,42.7000,ufficiale,33.9265,1.5486,79.4533,3.6267,75.5161,72.2196,9.8272,False
BOLOGNA CENTRALE,FAENZA,5698,5668,5698,226341.0000,20766,1089,82,2019-10,2026-07,50.0000,confermata,39.7229,3.6637,79.4458,7.3275,75.5232,69.1458,19.2131,False
TARVISIO BOSCOVERDE,UDINE,1768,1720,1768,124704.0000,3790,222,79,2019-10,2026-07,88.7900,ufficiale,70.5339,2.2035,79.4391,2.4817,75.5296,73.2415,12.9070,False
BOLOGNA CENTRALE,REGGIO EMILIA,662,629,662,32652.0000,2226,121,31,2020-03,2026-06,62.0900,ufficiale,49.3233,3.5390,79.4383,5.6997,75.5303,70.4738,19.2369,False
BOLOGNA CENTRALE,MILANO CENTRALE,41869,40920,41867,7130329.0000,179141,12224,82,2019-10,2026-07,214.7000,ufficiale,170.3091,4.3778,79.3242,2.0390,75.6390,73.7434,29.8729,False
BARI CENTRALE,NAPOLI CENTRALE,1066,904,1066,265958.0000,8957,362,30,2023-07,2026-07,314.5800,ufficiale,249.4916,9.9082,79.3094,3.1497,75.6531,72.7634,40.0442,False
ANCONA,BOLOGNA CENTRALE,7149,6965,7149,1154028.0000,18787,811,82,2019-10,2026-07,204.0400,ufficiale,161.4251,2.6973,79.1144,1.3220,75.8395,74.5931,11.6439,False
CAMPIGLIA MARITTIMA,LIVORNO CENTRALE,946,901,945,51227.0000,2202,108,82,2019-10,2026-07,68.5300,ufficiale,54.2085,2.4440,79.1018,3.5663,75.8516,72.5794,11.9867,False
MELITO PORTO SALVO,PAOLA,336,336,336,55004.0000,1377,77,27,2019-10,2022-10,207.0000,ufficiale,163.7024,4.0982,79.0833,1.9798,75.8694,74.0164,22.9167,False
DITTAINO,PALERMO CENTRALE,6680,6164,6680,911051.0000,19433,905,28,2019-11,2025-03,172.5100,ufficiale,136.3849,3.1527,79.0591,1.8275,75.8926,74.1779,14.6820,False
MILANO CENTRALE,PIADENA,502,502,502,45460.0000,8050,335,34,2019-11,2026-06,114.6600,ufficiale,90.5578,16.0359,78.9794,13.9856,75.9692,64.5404,66.7331,False
PESARO,PIACENZA,4831,4707,4831,1113024.0000,14869,763,81,2019-10,2026-07,291.9400,ufficiale,230.3921,3.1589,78.9176,1.0820,76.0287,75.0003,16.2099,False
GENOVA PIAZZA PRINCIPE,MILANO CENTRALE,367,333,367,40308.0000,2145,103,14,2025-03,2026-06,139.5500,ufficiale,109.8311,6.4414,78.7037,4.6159,76.2353,72.0119,30.9309,False
PESCARA,VASTO S SALVO,2023,2018,2023,105783.0000,2198,108,80,2019-10,2026-07,66.4400,ufficiale,52.2902,1.0892,78.7028,1.6394,76.2361,74.6806,5.3518,False
GROSSETO,ROMA TERMINI,17054,16158,17054,2474225.0000,42645,2293,82,2019-10,2026-07,184.5300,ufficiale,145.0818,2.6392,78.6223,1.4303,76.3142,74.9507,14.1911,False
PARMA,RIMINI,2239,2215,2238,354042.0000,11730,870,82,2019-10,2026-07,201.4800,ufficiale,158.1957,5.2957,78.5168,2.6284,76.4167,73.9415,39.2777,False
CAGLIARI,OLBIA TERRANOVA,2925,2888,2925,633739.0000,11119,428,17,2022-10,2026-07,276.1000,ufficiale,216.6629,3.8501,78.4726,1.3944,76.4598,75.1248,14.8199,False
CAGLIARI,OZIERI CHILIVANI,634,633,634,102407.0000,3186,102,23,2019-11,2026-07,206.0000,ufficiale,161.5252,5.0332,78.4103,2.4433,76.5206,74.2082,16.1137,False
CAGLIARI,OLBIA,9286,9260,9286,2010759.0000,33399,1338,58,2019-10,2025-09,276.5000,ufficiale,216.5366,3.6068,78.3134,1.3044,76.6152,75.3600,14.4492,False
BOIANO,ROMA TERMINI,1797,1315,1797,298998.0000,3519,172,7,2026-01,2026-07,212.9600,ufficiale,166.3873,2.6760,78.1308,1.2566,76.7943,75.5788,13.0798,False
FOLIGNO,MILANO CENTRALE,324,302,324,123066.0000,4228,152,22,2019-11,2026-07,486.5300,ufficiale,379.8333,14.0000,78.0699,2.8775,76.8542,74.1222,50.3311,False
BOLOGNA CENTRALE,PARMA,36825,35730,36815,2594806.0000,80702,5017,82,2019-10,2026-07,90.3900,ufficiale,70.4823,2.2587,77.9758,2.4988,76.9470,74.5577,14.0414,False
ROMA TERMINI,SESSA AURUNCA ROCCAMONFINA,480,450,480,57419.0000,727,29,17,2025-03,2026-07,153.4600,ufficiale,119.6229,1.6156,77.9506,1.0528,76.9719,75.9462,6.4444,False
CHIUSI CHIANCIANO TERME,ORTE,6115,5725,6115,363359.0000,14446,743,80,2019-10,2026-07,76.2300,ufficiale,59.4209,2.5233,77.9495,3.3101,76.9729,73.8374,12.9782,False
ORTE,ORVIETO,865,853,865,27700.0000,2172,126,38,2022-12,2026-06,41.2500,ufficiale,32.0231,2.5463,77.6318,6.1729,77.2879,71.5951,14.7714,False
BRENNERO,VERONA PORTA NUOVA,13744,12058,13743,2504909.0000,74389,3694,81,2019-10,2026-07,234.9100,ufficiale,182.2680,6.1693,77.5906,2.6262,77.3290,74.7973,30.6353,False
BARI CENTRALE,TARANTO,62102,61578,62097,5011898.0000,81288,3806,79,2019-10,2026-07,104.0300,ufficiale,80.7108,1.3201,77.5841,1.2689,77.3354,76.0909,6.1808,False
MALPENSA AEROPORTO T1,MILANO CADORNA,47409,47182,47409,1781930.0000,5153,273,28,2020-12,2023-03,48.4600,ufficiale,37.5863,0.1092,77.5615,0.2254,77.3579,77.1338,0.5786,False
DOMODOSSOLA,MILANO CENTRALE,55092,52885,55092,5283572.0000,343709,21484,79,2019-10,2026-06,123.6500,ufficiale,95.9045,6.4992,77.5613,5.2561,77.3582,72.4486,40.6240,False
ANCONA,PIACENZA,48743,46028,48743,13288564.0000,172755,10087,82,2019-10,2026-07,351.5100,ufficiale,272.6251,3.7533,77.5583,1.0678,77.3612,76.3106,21.9149,False
ANCONA,S BENEDETTO DEL TRONTO,7341,7196,7340,480402.0000,12789,748,82,2019-10,2026-07,84.4900,ufficiale,65.4499,1.7772,77.4646,2.1035,77.4547,75.4071,10.3947,False
ROMA TERMINI,TARANTO,7430,6778,7427,2992333.0000,77416,2982,82,2019-10,2026-07,521.0800,ufficiale,402.8993,11.4217,77.3200,2.1919,77.5995,75.4603,43.9953,False
